20,Quievrain,"{'@id': 'http://irail.be/stations/NMBS/008884335', 'id': 'BE.NMBS.008884335', 'name': 'Quievrain', 'locationX': '3.68608', 'locationY': '50.410103', 'standardname': 'Quievrain'}",1767705480,0,0,0,0,BE.NMBS.IC1735,"{'name': 'BE.NMBS.IC1735', 'shortname': 'IC 1735', 'number': '1735', 'type': 'IC', 'locationX': '0', 'locationY': '0', '@id': 'http://irail.be/vehicle/IC1735'}",4,"{'name': '4', 'normal': '1'}","{'@id': 'http://api.irail.be/terms/unknown', 'name': 'unknown'}",http://irail.be/connections/8813003/20260106/IC1735
21,Blankenberge,"{'@id': 'http://irail.be/stations/NMBS/008891405', 'id': 'BE.NMBS.008891405', 'name': 'Blankenberge', 'locationX': '3.133864', 'locationY': '51.312432', 'standardname': 'Blankenberge'}",1767705660,0,0,0,0,BE.NMBS.IC1535,"{'name': 'BE.NMBS.IC1535', 'shortname': 'IC 1535', 'number': '1535', 'type': 'IC', 'locationX': '0', 'locationY': '0', '@id': 'http://irail.be/vehicle/IC1535'}",2,"{'name': '2', 'normal': '1'}","{'@id': 'http://api.irail.be/terms/unknown', 'name': 'unknown'}",http://irail.be/connections/8813003/20260106/IC1535
22,Dendermonde,"{'@id': 'http://irail.be/stations/NMBS/008893401', 'id': 'BE.NMBS.008893401', 'name': 'Dendermonde', 'locationX': '4.101427', 'locationY': '51.022781', 'standardname': 'Dendermonde'}",1767705720,0,0,0,0,BE.NMBS.IC3212,"{'name': 'BE.NMBS.IC3212', 'shortname': 'IC 3212', 'number': '3212', 'type': 'IC', 'locationX': '0', 'locationY': '0', '@id': 'http://irail.be/vehicle/IC3212'}",1,"{'name': '1', 'normal': '1'}","{'@id': 'http://api.irail.be/terms/unknown', 'name': 'unknown'}",http://irail.be/connections/8813003/20260106/IC3212
23,Binche,"{'@id': 'http://irail.be/stations/NMBS/008882362', 'id': 'BE.NMBS.008882362', 'name': 'Binche', 'locationX': '4.172451', 'locationY': '50.408764', 'standardname': 'Binche'}",1767705780,60,0,0,0,BE.NMBS.IC3435,"{'name': 'BE.NMBS.IC3435', 'shortname': 'IC 3435', 'number': '3435', 'type': 'IC', 'locationX': '0', 'locationY': '0', '@id': 'http://irail.be/vehicle/IC3435'}",6,"{'name': '6', 'normal': '1'}","{'@id': 'http://api.irail.be/terms/unknown', 'name': 'unknown'}",http://irail.be/connections/8813003/20260106/IC3435
24,Louvain-la-Neuve,"{'@id': 'http://irail.be/stations/NMBS/008811676', 'id': 'BE.NMBS.008811676', 'name': 'Louvain-la-Neuve', 'locationX': '4.615745', 'locationY': '50.669793', 'standardname': 'Louvain-la-Neuve'}",1767705840,0,0,0,0,BE.NMBS.S83963,"{'name': 'BE.NMBS.S83963', 'shortname': 'S8 3963', 'number': '3963', 'type': 'S8', 'locationX': '0', 'locationY': '0', '@id': 'http://irail.be/vehicle/S83963'}",3,"{'name': '3', 'normal': '1'}","{'@id': 'http://api.irail.be/terms/unknown', 'name': 'unknown'}",http://irail.be/connections/8813003/20260106/S83963
25,Brussels-South/Brussels-Midi,"{'@id': 'http://irail.be/stations/NMBS/008814001', 'id': 'BE.NMBS.008814001', 'name': 'Brussels-South/Brussels-Midi', 'locationX': '4.336531', 'locationY': '50.835707', 'standardname': 'Brussel-Zuid/Bruxelles-Midi'}",1767705840,0,0,0,0,BE.NMBS.IC2134,"{'name': 'BE.NMBS.IC2134', 'shortname': 'IC 2134', 'number': '2134', 'type': 'IC', 'locationX': '0', 'locationY': '0', '@id': 'http://irail.be/vehicle/IC2134'}",4,"{'name': '4', 'normal': '1'}","{'@id': 'http://api.irail.be/terms/unknown', 'name': 'unknown'}",http://irail.be/connections/8813003/20260106/IC2134
26,Antwerp-Central,"{'@id': 'http://irail.be/stations/NMBS/008821006', 'id': 'BE.NMBS.008821006', 'name': 'Antwerp-Central', 'locationX': '4.421101', 'locationY': '51.2172', 'standardname': 'Antwerpen-Centraal'}",1767705900,60,0,0,0,BE.NMBS.IC4513,"{'name': 'BE.NMBS.IC4513', 'shortname': 'IC 4513', 'number': '4513', 'type': 'IC', 'locationX': '0', 'locationY': '0', '@id': 'http://irail.be/vehicle/IC4513'}",5,"{'name': '5', 'normal': '1'}","{'@id': 'http://api.irail.be/terms/unknown', 'name': 'unknown'}",http://irail.be/connections/8813003/20260106/IC4513
27,Braine-le-Comte,"{'@id': 'http://irail.be/stations/NMBS/008883006', 'id': 'BE.NMBS.008883006', 'name': 'Braine-le-Comte', 'locationX': '4.137662', 'locationY': '50.605079', 'standardname': 'Braine-le-Comte'}",1767706020,0,0,0,0,BE.NMBS.S23685,"{'name': 'BE.NMBS.S23685', 'shortname': 'S2 3685', 'number': '3685', 'type': 'S2', 'locationX': '0', 'locationY': '0', '@id': 'http://irail.be/vehicle/S23685'}",4,"{'name': '4', 'normal': '1'}","{'@id': 'http://api.irail.be/terms/unknown', 'name': 'unknown'}",http://irail.be/connections/8813003/20260106/S23685
28,Brussels Airport - Zaventem,"{'@id': 'http://irail.be/stations/NMBS/008819406', 'id': 'BE.NMBS.008819406', 'name': 'Brussels Airport - Zaventem', 'locationX': '4.482076', 'locationY': '50.896456', 'standardname': 'Brussels Airport - Zaventem'}",1767706080,0,0,0,0,BE.NMBS.IC2311,"{'name': 'BE.NMBS.IC2311', 'shortname': 'IC 2311', 'number': '2311', 'type': 'IC', 'locationX': '0', 'locationY': '0', '@id': 'http://irail.be/vehicle/IC2311'}",3,"{'name': '3', 'normal': '1'}","{'@id': 'http://api.irail.be/terms/unknown', 'name': 'unknown'}",http://irail.be/connections/8813003/20260106/IC2311
29,Kortrijk,"{'@id': 'http://irail.be/stations/NMBS/008896008', 'id': 'BE.NMBS.008896008', 'name': 'Kortrijk', 'locationX': '3.264549', 'locationY': '50.824506', 'standardname': 'Kortrijk'}",1767706080,0,0,0,0,BE.NMBS.IC435,"{'name': 'BE.NMBS.IC435', 'shortname': 'IC 435', 'number': '435', 'type': 'IC', 'locationX': '0', 'locationY': '0', '@id': 'http://irail.be/vehicle/IC435'}",2,"{'name': '2', 'normal': '1'}","{'@id': 'http://api.irail.be/terms/unknown', 'name': 'unknown'}",http://irail.be/connections/8813003/20260106/IC435
